item_id,name,flag,column,url,filename,local_file
11410429687,Ameh Ebuta Street from Babafemi Ogudipe RoardB,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2797986087/TimePhoto_20260303_102057.jpg,TimePhoto_20260303_102057.jpg,11410429687_external_ameh-ebuta-street-from-babafemi-ogudipe-_TimePhoto_20260303_102057.jpg
11410429687,Ameh Ebuta Street from Babafemi Ogudipe RoardB,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2797988305/TimePhoto_20260303_102606.jpg,TimePhoto_20260303_102606.jpg,11410429687_internal_ameh-ebuta-street-from-babafemi-ogudipe-_TimePhoto_20260303_102606.jpg
11410429687,Ameh Ebuta Street from Babafemi Ogudipe RoardB,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2797989150/TimePhoto_20260303_102309.jpg,TimePhoto_20260303_102309.jpg,11410429687_pole_ameh-ebuta-street-from-babafemi-ogudipe-_TimePhoto_20260303_102309.jpg
11410509018,Amed Ebute facing back to Babafemi Ogudipe the second hand,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2798010243/TimePhoto_20260303_105118.jpg,TimePhoto_20260303_105118.jpg,11410509018_external_amed-ebute-facing-back-to-babafemi-ogudi_TimePhoto_20260303_105118.jpg
11410509018,Amed Ebute facing back to Babafemi Ogudipe the second hand,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2798011951/TimePhoto_20260303_105156.jpg,TimePhoto_20260303_105156.jpg,11410509018_internal_amed-ebute-facing-back-to-babafemi-ogudi_TimePhoto_20260303_105156.jpg
11410509018,Amed Ebute facing back to Babafemi Ogudipe the second hand,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798011949/TimePhoto_20260303_105351.jpg,TimePhoto_20260303_105351.jpg,11410509018_pole_amed-ebute-facing-back-to-babafemi-ogudi_TimePhoto_20260303_105351.jpg
11410509018,Amed Ebute facing back to Babafemi Ogudipe the second hand,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798012485/TimePhoto_20260303_105717.jpg,TimePhoto_20260303_105717.jpg,11410509018_pole_amed-ebute-facing-back-to-babafemi-ogudi_TimePhoto_20260303_105717.jpg
11410602122,Ifeay Uguayi Crescent from the right hand,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2798040444/TimePhoto_20260303_105734.jpg,TimePhoto_20260303_105734.jpg,11410602122_external_ifeay-uguayi-crescent-from-the-right-han_TimePhoto_20260303_105734.jpg
11410602122,Ifeay Uguayi Crescent from the right hand,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2798040953/TimePhoto_20260303_111623.jpg,TimePhoto_20260303_111623.jpg,11410602122_internal_ifeay-uguayi-crescent-from-the-right-han_TimePhoto_20260303_111623.jpg
11410602122,Ifeay Uguayi Crescent from the right hand,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798041735/TimePhoto_20260303_111806.jpg,TimePhoto_20260303_111806.jpg,11410602122_pole_ifeay-uguayi-crescent-from-the-right-han_TimePhoto_20260303_111806.jpg
11410644932,Ifeay Uguayi from the left hands,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2798063680/TimePhoto_20260303_112830.jpg,TimePhoto_20260303_112830.jpg,11410644932_external_ifeay-uguayi-from-the-left-hands_TimePhoto_20260303_112830.jpg
11410644932,Ifeay Uguayi from the left hands,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2798064269/TimePhoto_20260303_113039.jpg,TimePhoto_20260303_113039.jpg,11410644932_internal_ifeay-uguayi-from-the-left-hands_TimePhoto_20260303_113039.jpg
11410644932,Ifeay Uguayi from the left hands,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798065029/TimePhoto_20260303_112147.jpg,TimePhoto_20260303_112147.jpg,11410644932_pole_ifeay-uguayi-from-the-left-hands_TimePhoto_20260303_112147.jpg
11410823760,Amen Ebute continue from Ifeay Oguayi crescent to Muhammed Bello way wuye,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2798111633/TimePhoto_20260303_115452.jpg,TimePhoto_20260303_115452.jpg,11410823760_external_amen-ebute-continue-from-ifeay-oguayi-cr_TimePhoto_20260303_115452.jpg
11410823760,Amen Ebute continue from Ifeay Oguayi crescent to Muhammed Bello way wuye,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2798112608/TimePhoto_20260303_115406.jpg,TimePhoto_20260303_115406.jpg,11410823760_internal_amen-ebute-continue-from-ifeay-oguayi-cr_TimePhoto_20260303_115406.jpg
11410823760,Amen Ebute continue from Ifeay Oguayi crescent to Muhammed Bello way wuye,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798113313/TimePhoto_20260303_115647.jpg,TimePhoto_20260303_115647.jpg,11410823760_pole_amen-ebute-continue-from-ifeay-oguayi-cr_TimePhoto_20260303_115647.jpg
11410831809,Ameh Ebute from Muhammad Bello way towards Ifeay Oguayi junction,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2798116766/TimePhoto_20260303_120040.jpg,TimePhoto_20260303_120040.jpg,11410831809_external_ameh-ebute-from-muhammad-bello-way-towar_TimePhoto_20260303_120040.jpg
11410831809,Ameh Ebute from Muhammad Bello way towards Ifeay Oguayi junction,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2798117479/TimePhoto_20260303_120202.jpg,TimePhoto_20260303_120202.jpg,11410831809_internal_ameh-ebute-from-muhammad-bello-way-towar_TimePhoto_20260303_120202.jpg
11410831809,Ameh Ebute from Muhammad Bello way towards Ifeay Oguayi junction,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2798118046/TimePhoto_20260303_120339.jpg,TimePhoto_20260303_120339.jpg,11410831809_pole_ameh-ebute-from-muhammad-bello-way-towar_TimePhoto_20260303_120339.jpg
11442558122,DAHIRU MUSTAPHA BLVd,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2807933178/TimePhoto_20260306_100412.jpg,TimePhoto_20260306_100412.jpg,11442558122_external_dahiru-mustapha-blvd_TimePhoto_20260306_100412.jpg
11442558122,DAHIRU MUSTAPHA BLVd,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2807933858/TimePhoto_20260306_100722.jpg,TimePhoto_20260306_100722.jpg,11442558122_internal_dahiru-mustapha-blvd_TimePhoto_20260306_100722.jpg
11442558122,DAHIRU MUSTAPHA BLVd,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2807934235/TimePhoto_20260306_100824.jpg,TimePhoto_20260306_100824.jpg,11442558122_pole_dahiru-mustapha-blvd_TimePhoto_20260306_100824.jpg
11442672946,DAHIRU MUSTAPHA BLVD sSECOND HAND,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2807968392/TimePhoto_20260306_102206.jpg,TimePhoto_20260306_102206.jpg,11442672946_external_dahiru-mustapha-blvd-ssecond-hand_TimePhoto_20260306_102206.jpg
11442672946,DAHIRU MUSTAPHA BLVD sSECOND HAND,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2807969518/TimePhoto_20260306_102830.jpg,TimePhoto_20260306_102830.jpg,11442672946_internal_dahiru-mustapha-blvd-ssecond-hand_TimePhoto_20260306_102830.jpg
11442861033,GHALI NA'ABA CRESCENT,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2808011209/TimePhoto_20260306_110815.jpg,TimePhoto_20260306_110815.jpg,11442861033_external_ghali-na-aba-crescent_TimePhoto_20260306_110815.jpg
